Usefulness,Word,Addition,Result
245550,DEMAT/MATED/TAMED,O,MOATED
210154,PATIO,E,OPIATE
208141,PIETA,O,OPIATE
199308,ADMIT,O,DIATOM
196762,EMOTE,S,EMOTES
191561,PAEON,A,APNOEA
191196,FATES/FEAST/FEATS/FESTA,A,ESTAFA
187040,AUDIO,G,DAIGOU
185348,IDIOT,S,IDIOTS
184361,PAEAN,O,APNOEA
176800,EMOTE,D,DEMOTE/EMOTED
173884,EMOTE,R,EMOTER/METEOR/REMOTE
173398,EMOTE,N,TONEME
173362,FOSSA/SOFAS,E,FOSSAE
173288,OASES,F,FOSSAE
171524,FIDEO,T,FOETID
169800,SAFES,O,FOSSAE
169425,FOSSE,A,FOSSAE
167333,AUDIT,S,AUDITS
166074,ATONE/OATEN,T,NOTATE
165515,GUIDO,A,DAIGOU
164468,SATAI,D,STADIA
164268,ADITS/STAID,A,STADIA
162288,MAURI,D,RADIUM
161950,MURID,A,RADIUM
161263,MUDRA,I,RADIUM
160974,TANTO,E,NOTATE
160938,DIRAM,U,RADIUM
160562,NETTA/TANTE,O,NOTATE
158320,TORII,N,ROTINI
157065,PASEO,I,SOAPIE
154165,PAISE/SEPIA,O,SOAPIE
153520,AROID/RADIO,S,AROIDS/RADIOS
151683,ADIOS/DOSAI,R,AROIDS/RADIOS
151028,POISE,A,SOAPIE
150274,FETID,O,FOETID
149958,IORAS,D,AROIDS/RADIOS
149130,OMEGA,S,OMEGAS
148633,DORSA/ROADS/SAROD,I,AROIDS/RADIOS
148608,RAIDS/RIADS,O,AROIDS/RADIOS
145098,DOITS,I,IDIOTS
144816,DURRA,O,ARDOUR
144022,ELOTE,A,OLEATE
141930,TOPEE,U,TOUPEE
141339,RANEE,P,PANEER
141339,FAMED,O,FOAMED
139202,IMAGE,D,IMAGED
138814,NEPER/PREEN,A,PANEER
138564,PAREN,E,PANEER
137812,MEETS/METES/TEEMS,O,EMOTES
137700,MOTES/SMOTE/TOMES,E,EMOTES
133592,ENSUE/UNSEE,A,UNEASE
133520,OGEES,D,GEODES
133420,GEODE/OGEED,S,GEODES
132693,PATEE,N,NEPETA
131046,ELATE,O,OLEATE
125352,MIDGE,A,IMAGED
124627,GAMED,I,IMAGED
124540,AIMED/AMIDE/MAEDI/MEDIA,G,IMAGED
123520,LEONE,A,LOANEE
122742,FANES,U,UNSAFE
122670,IORAS,O,ARIOSO
122164,RATIO,H,THORIA
121392,OGAMS,E,OMEGAS
121318,GAMES/MAGES,O,OMEGAS
120848,RERAN,O,ROANER
120032,DAGOS/GOADS,E,DAGOES/DOSAGE
118030,FAUNS/SAUNF/SNAFU,E,UNSAFE
117738,METED,O,DEMOTE/EMOTED
116717,PAEON,S,PAEONS
114822,METER/METRE,O,EMOTER/METEOR/REMOTE
114822,METRO,E,EMOTER/METEOR/REMOTE
114352,HEIAU,S,HEIAUS
114348,MENTO/MONTE,E,TONEME
114094,AGAPE,S,AGAPES
113958,AGORA,E,AGORAE
112776,AGITA/GAITA/TAIGA,S,GAITAS
111982,PATIO,U,UTOPIA
109517,PAEON,M,MOPANE
109367,AEONS,P,PAEONS
109167,PASEO,N,PAEONS
108527,PIECE,A,APIECE
108274,EMOTE,P,METOPE
107982,DEGAS,O,DAGOES/DOSAGE
107982,DOGES,A,DAGOES/DOSAGE
107715,ULTRA,O,TORULA
107652,TOLAR,U,TORULA
107370,DOGES,E,GEODES
107370,EDGES/SEDGE,O,GEODES
106872,AGIOS,A,ASIAGO
106132,MESIA,F,SAMFIE
106114,PEACE,I,APIECE
105824,TITLE,O,TOILET
105820,SAMFI,E,SAMFIE
105786,TELOI/TOILE,T,TOILET
105066,TIBIA,E,TIBIAE
104456,OIDIA,M,DAIMIO
104308,OPERA/PAREO,B,PEROBA
103662,PAEDO,M,POMADE
103022,CAGES,O,SOCAGE
103008,PROBE,A,PEROBA
102492,ASPEN/NAPES/NEAPS/PANES,O,PAEONS
102492,NOPES/OPENS/PEONS,A,PAEONS
102224,RIGOR,E,GORIER
101718,GOURA,T,RAGOUT
101612,GUIDE,T,DUGITE
101445,PATEE,T,PATTEE
101406,GROUT/TRUGO,A,RAGOUT
101268,ARGOT/GATOR/GROAT,U,RAGOUT
101193,EATEN,P,NEPETA
100910,SAIGA,O,ASIAGO
100810,LOOIE,T,OOLITE/TOOLIE
100710,TELOI/TOILE,O,OOLITE/TOOLIE
100342,DONEE,T,DENOTE
100076,NATAL,O,ATONAL
99864,NOTAL/TALON/TONAL,A,ATONAL
99806,AGATE,U,GATEAU
99658,ADUST/USTAD,I,AUDITS
99630,NOTED/TONED,E,DENOTE
99384,OOTID,R,TOROID
99384,AORTA,T,TOTARA
98624,REORG/ROGER,I,GORIER
98378,BIOTA,E,BOATIE
98232,RUTIN,O,TURION
98208,ADITS/STAID,U,AUDITS
98118,PATEN,E,NEPETA
97522,NORIA,A,ARONIA
96897,ARENA,S,ARENAS
96736,RADII,P,DIAPIR
96520,TRAGI,U,GUITAR
96450,AORTA,S,AORTAS
96396,ANELE,O,LOANEE
95782,INTRO/NITRO,I,ROTINI
95650,AROID/RADIO,T,ADROIT
95537,TAFIA,S,TAFIAS
