Usefulness,Word,Compounds
15552,ABASEMENT,BAMASENTE/BAMASTEEN/BAMATEENS/BAMATENSE/MANABEETS
3888,ABASHMENT,AMAHBENTS/MAHABENTS/MANABETHS/NAAMBETHS/BANEMATHS
0,ABBOTSHIP,BOABPITHS/BOBAPITHS/BABSTOPHI/BOPSHABIT/PITHBOABS
12636,ABDICATOR,BADATORIC/DATABORIC/DATACRIBO/BARDCOATI/BRADCOATI
7452,ABDOMINAL,BAMADINLO/NADALIMBO/AMLABIDON/LAMABIDON/MALABIDON
2592,ABERRANCE,CARBRANEE/CRABRANEE/BANECARER/BANERACER/BEANCARER
648,ABERRANCY,CARBYEARN/CRABYEARN/BANECARRY/BEANCARRY/NABECARRY
3240,ABHORRENT,BARENORTH/BARETHORN/BEARNORTH/BEARTHORN/BRAENORTH
3564,ABIOGENIC,INCABOGIE/CIAOBEGIN/CIAOBEING/CIAOBINGE/BICENGAIO
11016,ABNEGATED,BADAGENET/BADATENGE/NADABEGET/ABEDAGENT/BADEAGENT
35964,ABNEGATOR,AGARBENTO/RAGABENTO/BANEARGOT/BANEGROAT/BEANARGOT
1620,ABNORMITY,BOARMINTY/BORAMINTY/MANYORBIT/MYNAORBIT/NYAMORBIT
36288,ABOLISHER,BHAILORES/BHAILOSER/BHAIORLES/BHAIROLES/BHAISOREL
14256,ABOMINATE,MANABOITE/NAAMBOITE/ABETAMINO/ABETAMNIO/BATEAMINO
10368,ABORIGINE,BOARGENII/BORAGENII/GEANORIBI/GENAORIBI/NAGEORIBI
4860,ABOUNDING,BAUDNGONI/DAUBNGONI/BIGADUNNO/BAONGUNDI/GUANBIDON
9396,ABREACTED,BADAERECT/BADATERCE/DATAREBEC/CARBTEAED/CRABTEAED
28512,ABROGATED,BADAERGOT/DATAGREBO/RATABODGE/ABEDARGOT/ABEDGATOR
2268,ABROGATOR,AGARROBOT/RAGAROBOT/BOARARGOT/BOARGROAT/BORAARGOT
26568,ABRUPTION,BOARINPUT/BORAINPUT/BATOUNRIP/BOATUNRIP/TABOUNRIP
0,ABSCESSED,CABSSEEDS/SCABSEEDS/BASSCEDES/SABSCEDES/BEDSCASES
648,ABSCISING,BASSICING/SABSICING/ASCIBINGS/BIGSINCAS/GIBSINCAS
648,ABSCISSAE,BAASSICES/BAISCASES/BIASCASES/ACESBASIS/ACESBASSI
