Selection,Max,Length
RNRIEFROS,IRONERS/ROSINER/SORRIER,7
OGEETYMPE,METOPE/PEYOTE,6
EAJNIHIBA,BHAJAN/BHAJIA/HIJABI,6
STOEEMLOR,MOLESTER/TREMOLOS,8
DGSENTEAT,ENDGATES/GESTATED,8
IVFAZDONW,AVOID/DANFO/DANIO/DIAZO/DIVAN/DIWAN/VIAND,5
SDCRSEIRO,CROSIERS/DROSSIER,8
ROMXLPEAE,EXEMPLAR,8
APDEIANBB,BABIED/BEDPAN/INDABA/NABBED/NIBBED/PAINED,6
UILMAOBSN,ALBUMINS/OLIBANUM,8
AAJSUFOIT,FAJITAS,7
EGTONAQRN,NEGATOR/NORTENA/REGNANT/RONTGEN/TONNAGE,7
GSEPDEAII,SPIEDIE,7
RINLDUAOS,DINOSAUR/ORDINALS,8
OMEPEMRFA,AMPERE/FEMMER/FEMORA/FORMAE,6
AODERRCNA,CARRONADE,9
VGETUAASH,GATEAUS/VAGUEST,7
OSCRSEAYN,COARSENS,8
LIUHGVOMA,GLIOMA/HAMULI/MAULVI/MOULVI/OGIVAL,6
LILTEOSTU,LITOTES/OUTLETS/OUTSELL/TOILETS/ULTISOL,7
RIEMNDSEP,SPIDERMEN,9
ELFHSOOAF,LOOFAHS,7
RATIAGRZN,ARRAIGN/GRANITA/TARRING/TZARINA,7
RDOOOLNTC,CONTROL,7
VGOIDEIRG,DOGGIER/IVORIED,7
AUTMAJIBP,BITMAP/MABATI,6
DONIMTTOQ,DOMINO/MOTION,6
UETASSUTK,STATUES/TSATSKE,7
EHROIWAND,ANEROID/DOWNIER/HANDIER/RAWHIDE,7
ESEPIGNOY,EPIGONES,8
UIIOBKEPC,BIOPIC,6
MIETGPAND,DAMPING/MEDIANT/MINTAGE/PAINTED/PIGMEAN/PIGMENT/TAMPING/TEAMING/TEGMINA/TEMPING,7
STOARNEED,RESONATED,9
HEIULESUQ,QUEUES/SEQUEL,6
SUTDOAMJS,ADJUSTS,7
ELISUCVED,DELUSIVE,8
DNIRMTAIO,DORMANT/MIDIRON/MORDANT,7
TGEABIXTU,BAUXITE,7
RIOWAOPAN,PRONAOI,7
RASEIOMAR,ARMOIRES,8
FIASOBRTR,ARBORIST,8
UTNEACGEN,CANTEEN/CUNEATE/TUNEAGE/UNEATEN,7
YIECPRNLA,PRINCELY,8
IOKETMERT,EMITTER/TERMITE,7
CCCALDETU,DUCTAL/DULCET/TALCED,6
LXRALOUSO,ALLUS/LOLAS/LOLOS/LOURS/ORALS/ROLLS/SOLAR/SURAL,5
